mold_name,timestamp,material_name,machine_tonnage,cycle_number,hopper_temp,nozzle_temp,H1,H2,H3,mold_core_temp,mold_cavity_temp,inj_speed1,inj_speed2,inj_speed3,actual_inj_pressure,vp_transition,inj_time_actual,holding_pressure_stage1,holding_pressure_stage2,holding_pressure_stage3,screw_rpm,back_pressure,decompression_speed,decompression_distance,cushion_size,clamp_force,mold_close_speed,mold_protection_pressure,ejection_stroke,ejection_speed,cooling_time,mold_open_reset_time,part_weight,shot_weight,screw_diameter,total_cycle_time,Hopper_State,Barrel_Heater_State,Screw_State,Injection_Unit_State,Hydraulic_System_State,Clamp_Unit_State,Mold_State,Cooling_System_State,Ejector_System_State
Smart Router Enclosure,06:55.8,"ABS (Flame Retardant, Medium Flow)",180,18,44,230,224,215,202,66,70,35,56,21,123,9,1.31,73,51,33,68,8,15,5.2,4.2,137,235,12,46,42,14.87,3.48,34.3,81.5,45,24.73,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,07:20.6,"ABS (Flame Retardant, Medium Flow)",180,19,44,232,226,216,200,67,70,34,57,20,116,9,1.39,72,53,34,78,9,15,5,3.9,136,250,12,46,37,13.94,3.52,33.2,82.1,45,23.79,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,07:44.4,"ABS (Flame Retardant, Medium Flow)",180,20,43,228,225,213,200,65,71,35,61,18,119,8.5,1.35,72,52,34,73,9,15,5.1,4.1,131,255,12,45,39,15.28,3.61,34.7,82.7,45,25.2,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,08:09.6,"ABS (Flame Retardant, Medium Flow)",180,21,45,230,224,216,200,67,72,35,59,20,124,8.1,1.42,73,53,33,72,8,14,5.3,4.1,136,255,12,43,40,14.69,3.39,33.4,83.4,45,24.53,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,08:34.1,"ABS (Flame Retardant, Medium Flow)",180,22,45,229,225,215,201,66,70,32,59,21,121,8,1.37,72,56,35,73,8,14,5.4,3.9,138,235,11,46,40,14.59,3.68,34.8,84.3,45,24.73,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,08:58.8,"ABS (Flame Retardant, Medium Flow)",180,23,45,230,224,217,198,65,70,34,58,19,127,8.5,1.36,76,55,35,70,8,14,5.3,4,131,255,11,44,37,15.09,3.51,34.7,84.7,45,24.95,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,09:23.8,"ABS (Flame Retardant, Medium Flow)",180,24,45,230,225,214,199,66,75,35,61,19,117,8.4,1.4,71,52,35,75,8,16,5.2,3.9,138,241,12,44,39,14.54,3.71,34.8,82.1,45,24.63,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,09:48.4,"ABS (Flame Retardant, Medium Flow)",180,25,45,229,224,216,203,64,72,36,63,20,121,9,1.41,74,55,33,76,8,15,5.4,4,135,257,12,44,39,15.24,3.44,34.3,82.7,45,25.08,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,10:13.5,"ABS (Flame Retardant, Medium Flow)",180,26,44,228,226,215,196,66,71,33,57,20,127,8.9,1.42,74,54,35,75,8,14,5,4.2,135,255,12,45,39,14.26,3.62,34.1,82,45,24.28,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,10:37.8,"ABS (Flame Retardant, Medium Flow)",180,27,45,229,226,212,201,65,70,34,57,19,122,9.1,1.41,74,53,35,78,8,15,5,4,133,254,12,46,38,14.38,3.46,33.4,82.7,45,24.17,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,11:01.9,"ABS (Flame Retardant, Medium Flow)",180,28,45,231,227,215,202,67,71,35,66,19,122,8.7,1.37,75,55,35,72,8,14,5.2,4.2,128,243,12,46,40,14.7,3.71,34.7,85.5,45,24.86,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,11:26.8,"ABS (Flame Retardant, Medium Flow)",180,29,44,230,226,216,201,66,71,34,61,20,123,7.9,1.36,75,52,36,71,8,14,4.9,4,137,254,12,44,40,14.2,3.6,33.8,84.3,45,24.2,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,11:51.0,"ABS (Flame Retardant, Medium Flow)",180,30,47,230,225,214,199,66,70,35,58,20,128,8.4,1.36,73,55,33,73,8,15,5.2,4.2,137,238,11,46,42,15.26,3.65,34.8,85,45,25.27,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,12:16.3,"ABS (Flame Retardant, Medium Flow)",180,31,47,229,226,217,201,67,70,35,61,19,121,8.2,1.27,74,53,34,72,9,15,5.3,4,130,242,12,48,40,15.39,3.51,33.7,81.4,45,25.19,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,12:41.5,"ABS (Flame Retardant, Medium Flow)",180,32,46,229,226,213,201,66,70,36,62,20,117,8.8,1.32,71,51,34,73,8,14,5.4,4.1,131,249,12,43,39,15.05,3.43,34,84.4,45,24.85,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,13:06.3,"ABS (Flame Retardant, Medium Flow)",180,33,46,229,226,213,201,64,71,38,61,19,119,8.3,1.34,77,55,34,73,8,15,5.2,4,135,252,12,45,38,14.55,3.57,34,83,45,24.46,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,13:30.8,"ABS (Flame Retardant, Medium Flow)",180,34,45,229,226,214,198,66,69,34,61,21,123,8.7,1.41,72,54,34,71,8,16,5,3.7,133,230,12,46,40,14.25,3.72,34.8,84.7,45,24.31,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,13:55.1,"ABS (Flame Retardant, Medium Flow)",180,35,44,230,228,214,199,64,68,34,59,20,120,8.5,1.39,71,55,33,75,8,15,5.4,4,136,250,12,44,39,14.52,3.37,34,86.5,45,24.28,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,14:19.4,"ABS (Flame Retardant, Medium Flow)",180,36,46,230,224,215,200,66,70,36,61,20,122,8.4,1.46,72,54,35,74,8,15,5.1,4,133,246,12,45,39,14.8,3.72,33.6,83.7,45,24.97,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,14:44.3,"ABS (Flame Retardant, Medium Flow)",180,37,45,229,226,216,204,66,71,37,61,20,121,9.2,1.38,74,54,34,75,8,14,5.3,3.7,134,246,12,47,38,14.36,3.51,34,80.5,45,24.23,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,15:08.6,"ABS (Flame Retardant, Medium Flow)",180,38,46,228,225,213,198,67,69,35,59,21,117,8.7,1.32,76,53,35,78,8,15,5.1,4.1,135,241,12,44,40,14.84,3.35,34.5,83.1,45,24.52,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,15:33.1,"ABS (Flame Retardant, Medium Flow)",180,39,47,231,223,214,199,66,69,36,58,20,120,8.5,1.42,74,51,34,77,9,14,5.2,3.9,131,255,12,45,38,15.01,3.69,33.8,84.6,45,25.15,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,15:58.2,"ABS (Flame Retardant, Medium Flow)",180,40,43,229,222,214,200,65,69,34,59,20,124,8.5,1.42,74,56,36,72,9,15,5,4.2,135,237,13,45,39,14.75,3.63,33.9,82.4,45,24.86,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,16:23.1,"ABS (Flame Retardant, Medium Flow)",180,41,45,229,222,215,200,65,71,35,58,21,116,8.7,1.4,75,52,34,70,9,15,5,4,131,259,12,44,41,14.92,3.52,35.9,83,45,24.81,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,16:47.9,"ABS (Flame Retardant, Medium Flow)",180,42,44,230,225,213,200,66,71,34,60,20,125,9,1.36,73,56,35,73,8,15,5.3,4,135,240,11,45,41,13.91,3.72,34.5,84.5,45,24,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,17:11.9,"ABS (Flame Retardant, Medium Flow)",180,43,45,229,223,213,197,67,70,33,55,20,120,9.2,1.45,73,57,35,70,9,15,5,3.9,130,254,12,46,39,15.12,3.58,33.7,84.3,45,25.09,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,17:37.0,"ABS (Flame Retardant, Medium Flow)",180,44,44,231,225,215,200,64,70,34,60,19,122,8.5,1.42,74,53,34,80,8,15,5.1,4.1,133,242,12,45,40,14.62,3.66,34.7,83.3,45,24.73,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,18:01.7,"ABS (Flame Retardant, Medium Flow)",180,45,46,229,225,215,198,66,71,35,60,19,121,8.4,1.29,75,53,33,73,9,15,5.1,4,135,243,13,46,38,15.08,3.66,34.3,83.2,45,24.98,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,18:26.7,"ABS (Flame Retardant, Medium Flow)",180,46,45,229,224,216,199,65,71,34,56,20,118,8.9,1.45,74,52,33,71,8,15,5.1,3.9,133,245,12,46,40,15.02,3.52,34.2,84.3,45,25.02,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,18:51.7,"ABS (Flame Retardant, Medium Flow)",180,47,45,230,224,218,199,65,70,36,62,19,122,8.7,1.4,70,51,35,73,8,15,5.2,3.9,139,249,12,46,39,15.26,3.47,35.1,83.3,45,25.2,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,19:16.9,"ABS (Flame Retardant, Medium Flow)",180,48,43,230,226,214,202,65,72,35,58,20,119,8.3,1.25,76,52,34,76,9,14,5.1,3.7,138,242,11,45,34,15.09,3.5,34.3,85.2,45,24.81,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,19:41.7,"ABS (Flame Retardant, Medium Flow)",180,49,44,229,224,214,196,65,70,35,59,21,125,8.2,1.44,74,53,35,73,8,15,5.1,4.1,135,250,12,45,38,15.05,3.58,34.6,82.7,45,25.1,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,20:06.8,"ABS (Flame Retardant, Medium Flow)",180,50,44,229,225,215,196,66,72,34,64,19,123,8.3,1.43,69,54,35,73,8,14,4.9,3.9,142,245,13,45,39,14.91,3.53,34.4,84.1,45,24.76,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,20:31.6,"ABS (Flame Retardant, Medium Flow)",180,51,45,230,222,215,199,66,72,35,60,18,121,8.5,1.37,72,52,33,74,8,15,5.2,3.9,132,243,13,45,39,13.84,3.51,34.3,84,45,23.82,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,20:55.4,"ABS (Flame Retardant, Medium Flow)",180,52,44,231,225,216,201,65,69,34,57,19,127,9,1.36,76,53,34,76,8,14,5,4.1,133,253,11,49,39,14.33,3.65,33.6,84.9,45,24.36,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,21:19.8,"ABS (Flame Retardant, Medium Flow)",180,53,45,229,227,214,200,66,72,34,61,19,117,8.2,1.4,71,54,34,72,8,14,5.3,4,138,243,11,44,41,14.41,3.62,33.3,84.9,45,24.4,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,21:44.2,"ABS (Flame Retardant, Medium Flow)",180,54,42,230,226,214,200,64,72,34,63,19,122,8.7,1.38,73,54,34,73,8,15,5.3,4,132,247,12,45,40,14.74,3.48,34.6,82.8,45,24.56,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,22:08.7,"ABS (Flame Retardant, Medium Flow)",180,55,46,230,224,216,202,66,71,35,62,20,124,8.7,1.47,78,52,34,74,8,15,5.2,4,132,248,12,44,40,14.59,3.57,34.2,83.8,45,24.61,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,22:33.3,"ABS (Flame Retardant, Medium Flow)",180,56,43,231,224,215,198,66,69,35,61,19,122,8.9,1.39,75,53,34,71,8,15,5,3.9,133,249,13,46,37,14.67,3.4,34,84.1,45,24.53,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,22:57.9,"ABS (Flame Retardant, Medium Flow)",180,57,44,231,227,216,199,65,70,34,59,19,125,8.3,1.32,71,55,33,74,8,15,5.1,4.1,134,251,12,45,40,15.26,3.64,34.9,82.4,45,25.25,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,23:23.1,"ABS (Flame Retardant, Medium Flow)",180,58,45,228,226,215,200,66,70,35,61,19,121,8.4,1.35,73,53,33,73,8,15,4.9,4.2,133,248,12,44,39,14.69,3.41,34,82.1,45,24.48,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,23:47.6,"ABS (Flame Retardant, Medium Flow)",180,59,46,230,225,215,200,66,72,35,62,19,121,8.7,1.33,72,52,35,72,8,14,5.3,4.1,136,241,12,44,40,14.65,3.43,33.5,83.3,45,24.39,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,24:12.0,"ABS (Flame Retardant, Medium Flow)",180,60,45,230,226,212,198,65,72,35,59,21,124,8.9,1.36,75,53,34,75,8,14,5,4.2,135,236,12,46,40,15.26,3.58,33.8,82.9,45,25.12,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,24:37.1,"ABS (Flame Retardant, Medium Flow)",180,61,45,229,224,214,199,66,70,33,61,20,117,8.6,1.45,75,54,35,73,9,16,4.9,3.8,132,250,12,45,42,15.39,3.63,33.2,83,45,25.52,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,25:02.6,"ABS (Flame Retardant, Medium Flow)",180,62,46,230,225,216,198,66,70,34,63,21,131,8.7,1.37,72,55,35,72,8,15,5.1,4.2,136,245,12,47,39,14.34,3.61,35.3,84,45,24.34,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,25:27.0,"ABS (Flame Retardant, Medium Flow)",180,63,42,228,224,217,197,66,69,33,58,20,121,8.8,1.37,71,55,35,73,9,15,5.2,4.2,135,232,12,46,41,15.06,3.58,34.1,86.9,45,24.97,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,25:51.9,"ABS (Flame Retardant, Medium Flow)",180,64,46,229,226,217,199,66,71,34,60,21,123,8.1,1.37,74,53,34,74,8,14,4.9,3.9,135,245,12,47,39,14.51,3.52,34.6,81.8,45,24.36,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,26:16.3,"ABS (Flame Retardant, Medium Flow)",180,65,42,228,223,217,196,64,73,34,61,19,121,8.5,1.42,75,56,34,71,8,15,4.9,4,133,251,12,45,41,14.57,3.55,34.9,83.9,45,24.51,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,26:40.8,"ABS (Flame Retardant, Medium Flow)",180,66,44,229,224,214,199,65,69,35,61,19,116,8.4,1.29,75,52,36,75,8,15,5.3,3.8,136,245,13,46,40,14.36,3.43,34.3,85.3,45,24.14,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,27:05.0,"ABS (Flame Retardant, Medium Flow)",180,67,45,227,225,215,199,66,69,36,61,20,120,8.6,1.44,74,53,33,68,8,15,5.3,4.1,134,255,12,45,41,15.39,3.45,35,86.2,45,25.22,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,27:30.2,"ABS (Flame Retardant, Medium Flow)",180,68,44,230,221,215,200,64,70,34,60,19,117,8.2,1.41,73,54,34,72,8,14,5,4.1,132,237,12,45,41,14.39,3.36,35.6,86.7,45,24.11,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,27:54.3,"ABS (Flame Retardant, Medium Flow)",180,69,45,230,223,214,201,68,71,35,60,19,120,8.5,1.44,68,56,35,74,9,15,5,4.4,136,247,12,46,37,15.36,3.55,35.1,84.2,45,25.26,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,28:19.6,"ABS (Flame Retardant, Medium Flow)",180,70,41,229,223,215,199,66,71,34,59,21,126,8.5,1.36,72,53,34,73,8,15,5,4,135,251,12,47,38,13.88,3.41,33.8,81.6,45,23.58,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,28:43.1,"ABS (Flame Retardant, Medium Flow)",180,71,43,229,225,215,198,66,70,35,59,20,121,8.6,1.41,75,54,34,70,9,15,5.4,4.3,135,242,12,46,41,15.19,3.47,34.2,82.8,45,25.06,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,29:08.2,"ABS (Flame Retardant, Medium Flow)",180,72,44,227,225,213,199,66,72,34,60,20,120,8.8,1.38,74,57,34,73,8,15,5.5,4,137,240,13,46,36,14.06,3.49,33.8,79.9,45,23.92,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,29:32.1,"ABS (Flame Retardant, Medium Flow)",180,73,44,230,227,215,198,65,71,34,59,19,126,9.3,1.38,74,53,34,72,9,15,5.3,4.1,132,249,11,45,39,14.2,3.42,34.8,82,45,24.12,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,29:56.2,"ABS (Flame Retardant, Medium Flow)",180,74,45,229,223,215,200,66,72,36,61,19,124,8.6,1.37,70,53,34,74,9,15,5,4.2,140,244,12,46,41,14.44,3.69,34.6,82.3,45,24.54,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,30:20.8,"ABS (Flame Retardant, Medium Flow)",180,75,47,229,222,213,201,66,71,35,57,20,124,8.3,1.38,73,53,34,72,8,14,5.1,4.1,131,263,11,44,40,14.5,3.3,34.3,83.7,45,24.22,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,30:45.0,"ABS (Flame Retardant, Medium Flow)",180,76,46,230,226,213,201,63,70,36,57,19,127,8.7,1.38,73,53,34,72,8,14,4.9,4,134,249,12,46,42,14.57,3.31,34.6,83.2,45,24.23,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,31:09.2,"ABS (Flame Retardant, Medium Flow)",180,77,46,228,224,214,202,66,72,36,59,19,119,8.6,1.28,74,55,35,74,8,15,5.1,4,130,247,12,46,39,14.06,3.24,33.9,85.2,45,23.55,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,31:32.8,"ABS (Flame Retardant, Medium Flow)",180,78,45,230,225,215,197,66,73,34,63,19,122,8.7,1.34,73,53,35,74,8,15,5.3,4,131,241,13,45,40,14.62,3.49,35.2,82.5,45,24.46,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,31:57.2,"ABS (Flame Retardant, Medium Flow)",180,79,43,230,224,214,199,65,69,35,54,20,117,8.6,1.38,73,55,34,68,8,15,5.2,4,125,243,13,44,40,13.82,3.56,34,84,45,23.75,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,32:21.0,"ABS (Flame Retardant, Medium Flow)",180,80,46,233,225,216,204,64,72,34,58,20,116,8.3,1.34,71,55,34,77,9,15,5.4,4.1,134,249,12,46,39,15.54,3.47,35.2,84.4,45,25.34,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,32:46.3,"ABS (Flame Retardant, Medium Flow)",180,81,45,229,225,218,201,67,70,36,56,19,125,8.7,1.47,74,53,35,74,7,14,5.3,4,133,243,12,46,38,15.38,3.76,34.6,83.5,45,25.56,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,33:11.9,"ABS (Flame Retardant, Medium Flow)",180,82,45,227,224,219,200,66,73,37,63,20,123,8.9,1.36,74,53,35,75,9,14,5.3,4,134,245,12,48,39,14.7,3.25,34.4,87,45,24.3,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,33:36.2,"ABS (Flame Retardant, Medium Flow)",180,83,46,229,225,214,199,64,69,36,59,20,118,8.7,1.45,72,54,35,74,8,15,5,4,133,253,12,46,38,15.16,3.49,34.8,86.6,45,25.08,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,34:01.3,"ABS (Flame Retardant, Medium Flow)",180,84,45,228,224,214,201,66,72,35,57,20,120,8.9,1.44,71,54,34,81,8,15,5.3,3.9,135,252,12,44,38,13.98,3.56,34.2,84.2,45,24.01,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,34:25.3,"ABS (Flame Retardant, Medium Flow)",180,85,45,231,225,213,199,65,72,34,61,21,120,8.6,1.38,78,55,33,76,8,14,5.2,4.1,134,246,12,45,37,14.69,3.64,34.8,81.8,45,24.77,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,34:50.0,"ABS (Flame Retardant, Medium Flow)",180,86,44,231,224,216,198,68,71,34,61,19,120,8.3,1.39,71,55,35,73,8,14,5,4.2,131,245,12,46,41,15.15,3.5,34.8,84.4,45,25.06,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,35:15.1,"ABS (Flame Retardant, Medium Flow)",180,87,44,229,226,213,200,65,72,35,59,20,115,8.7,1.35,74,54,34,74,8,15,5,4.3,127,256,12,44,38,15.34,3.61,33.3,82.5,45,25.25,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,35:40.4,"ABS (Flame Retardant, Medium Flow)",180,88,44,230,224,215,199,64,72,36,62,19,119,8.6,1.35,72,53,34,72,8,14,5.4,4,132,254,12,45,40,14.5,3.59,34.7,84.5,45,24.46,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,36:04.8,"ABS (Flame Retardant, Medium Flow)",180,89,41,230,224,215,198,67,71,35,62,20,123,8.6,1.36,70,54,34,73,8,15,5,4.1,133,239,12,46,38,14.7,3.48,33.8,86.5,45,24.51,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,36:29.3,"ABS (Flame Retardant, Medium Flow)",180,90,44,229,222,216,198,66,70,35,62,19,124,8.5,1.41,75,52,34,74,8,16,5.4,4,130,238,12,45,37,14.23,3.45,34.7,85.4,45,24.04,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,36:53.4,"ABS (Flame Retardant, Medium Flow)",180,91,45,228,223,216,201,65,70,34,57,20,118,8.5,1.35,73,53,35,76,8,15,4.9,3.9,136,244,12,43,37,14.2,3.73,34.7,84.3,45,24.31,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,37:17.7,"ABS (Flame Retardant, Medium Flow)",180,92,46,230,225,215,202,66,72,35,58,19,120,8.7,1.32,74,52,34,71,8,15,4.9,4.1,130,232,12,46,40,14.46,3.51,33.7,82.5,45,24.34,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,37:42.0,"ABS (Flame Retardant, Medium Flow)",180,93,44,230,224,214,200,66,70,35,59,20,118,8.9,1.44,73,52,36,76,9,15,5.3,4,138,244,12,45,39,14.49,3.82,33.7,81.1,45,24.71,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,38:06.7,"ABS (Flame Retardant, Medium Flow)",180,94,44,232,224,216,198,68,68,36,58,20,122,8.1,1.38,72,55,35,73,9,14,5.4,4,129,252,12,45,38,14.92,3.57,33.8,82.8,45,24.88,0,0,0,0,0,0,0,0,0
